order_id	quantity	item_name	choice_description
18	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, Rice]
18	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, [Cheese, Lettuce]]
18	1	Chips and Guacamole	
18	1	Chips and Tomatillo Green Chili Salsa	
19	1	Barbacoa Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
19	1	Chips	
20	1	Chips and Guacamole	
20	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
20	1	Steak Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
20	1	Chicken Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Lettuce]]
21	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]
21	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Fajita Veggies, Cheese]]
21	1	Izze	[Blackberry]
22	1	Steak Burrito	[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Sour Cream]]
22	1	Chips and Guacamole	
23	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]
23	2	Canned Soda	[Mountain Dew]
24	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]
24	1	Canned Soda	[Sprite]
25	1	Steak Bowl	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]
25	1	Chips and Fresh Tomato Salsa	
26	1	Barbacoa Soft Tacos	[Fresh Tomato Salsa, [Fajita Vegetables, Black Beans, Lettuce]]
26	1	Veggie Burrito	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
27	1	Barbacoa Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
27	1	Chips	
28	1	Chips and Guacamole	
28	1	Steak Soft Tacos	[Fresh Tomato Salsa, Cheese]
28	1	Veggie Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
28	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]
29	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]
29	1	Steak Soft Tacos	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]
30	1	Izze	[Blackberry]
30	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese]]
30	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]
31	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]
31	1	Side of Chips	
32	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]
32	1	Chips and Guacamole	
33	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]
33	1	Chips and Guacamole	
34	1	Chicken Soft Tacos	[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]
34	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Lettuce]]
34	1	Chips	
34	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]
35	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]
35	1	Chips	
36	1	Barbacoa Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]
36	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]
37	1	Chicken Burrito	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese]]
37	1	Steak Soft Tacos	[Tomatillo Red Chili Salsa]
38	1	Veggie Bowl	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce]]
38	1	Steak Bowl	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce]]
38	1	Bottled Water	
39	1	Carnitas Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]
39	1	Chips and Fresh Tomato Salsa	
40	1	Steak Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]
40	1	Steak Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole]]
40	1	Steak Crispy Tacos	[Fresh Tomato Salsa, Sour Cream]
41	1	Carnitas Burrito	[Roasted Chili Corn Salsa, [Sour Cream, Guacamole]]
41	1	Chips and Guacamole	
42	1	Barbacoa Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]
42	1	Chips and Guacamole	
43	1	Carnitas Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]
43	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]
44	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Sour Cream, Lettuce]]
44	1	Chips and Guacamole	
45	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]
45	1	Steak Bowl	[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]
45	1	Chips and Guacamole	
46	1	Veggie Burrito	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce]]
46	1	Nantucket Nectar	[Pineapple Orange Banana]
47	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]
47	1	Canned Soda	[Dr. Pepper]
48	1	Steak Burrito	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]
48	1	Chips and Guacamole	
49	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]
49	1	Chips and Tomatillo Red Chili Salsa	
49	1	Chips and Guacamole	
50	1	Chips and Tomatillo-Green Chili Salsa	
50	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]
51	1	Barbacoa Bowl	[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce]]
51	1	Chicken Burrito	[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Cheese, Lettuce]]
51	1	Canned Soda	[Diet Dr. Pepper]
52	1	Steak Soft Tacos	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Cheese, Sour Cream, Lettuce]]
52	1	Chips and Guacamole	
53	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]
53	1	Barbacoa Burrito	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]
53	1	Chips and Guacamole	
54	1	Chicken Bowl	[Fresh Tomato Salsa, [Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice]]
54	1	Chips and Guacamole	
55	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]
55	1	Canned Soda	[Coca Cola]
56	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]
56	1	Chips and Tomatillo Red Chili Salsa	
56	1	Chips and Guacamole	
57	1	Barbacoa Burrito	[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]
57	1	Chips and Guacamole	
58	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]
58	1	Chips and Tomatillo-Green Chili Salsa	
59	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]
60	2	Chicken Salad Bowl	[Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]
61	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
61	1	Chips and Guacamole	
62	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole]]
62	1	Chips and Guacamole	
63	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]
63	1	Chips and Guacamole	
64	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]
64	1	Veggie Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce]]
65	1	Barbacoa Burrito	[Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]
65	1	Carnitas Bowl	[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese]]
65	1	Chips and Guacamole	
66	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]
67	2	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]
67	1	Side of Chips	
68	2	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]
68	1	Chips and Guacamole	
69	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]
69	1	Chips and Tomatillo-Green Chili Salsa	
70	2	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]
70	1	Chips and Guacamole	
71	1	Chips and Guacamole	
71	1	Veggie Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]
71	1	Steak Burrito	[Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole, Lettuce]]
72	1	Chicken Burrito	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]
73	1	Chicken Bowl	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]
73	1	Chicken Burrito	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce]]
73	2	Canned Soda	[Diet Coke]
74	1	Carnitas Bowl	[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]
74	1	Veggie Bowl	[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]
74	1	Chips and Tomatillo-Green Chili Salsa	
75	1	Chips and Guacamole	
75	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]
75	1	Barbacoa Crispy Tacos	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]
75	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream]]
76	1	Chicken Burrito	[[Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Cheese, Lettuce]]
76	2	Canned Soda	[Diet Dr. Pepper]
77	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]
77	1	Nantucket Nectar	[Apple]
78	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), Lettuce]
78	1	Steak Soft Tacos	[Roasted Chili Corn Salsa (Medium), Lettuce]
79	1	Chicken Bowl	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]
80	1	Steak Burrito	[Fresh Tomato Salsa (Mild), [Rice, Black Beans, Sour Cream, Guacamole]]
81	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream]]
81	1	Canned Soda	[Coca Cola]
81	1	Canned Soda	[Dr. Pepper]
82	1	Barbacoa Soft Tacos	[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]
82	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream]]
82	1	Chips and Fresh Tomato Salsa	
83	1	Steak Soft Tacos	[Fresh Tomato Salsa, [Cheese, Sour Cream]]
83	1	Chips and Guacamole	
83	1	Veggie Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
84	1	Steak Bowl	[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Guacamole, Lettuce]]
84	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]
84	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Lettuce]]
85	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Fajita Veggies, Cheese, Lettuce, Sour Cream, Rice]]
85	1	Chips and Roasted Chili-Corn Salsa	
86	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]
86	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]
86	1	Chips and Fresh Tomato Salsa	
87	1	Canned Soda	[Coca Cola]
87	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]
88	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]
88	1	Chips and Tomatillo-Green Chili Salsa	
89	1	Chicken Bowl	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Guacamole, Lettuce]]
89	1	Canned Soda	[Diet Coke]
89	1	Chips and Guacamole	
90	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]
90	1	Chicken Burrito	[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Sour Cream, Cheese, Lettuce]]
91	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]
91	1	Nantucket Nectar	[Peach Orange]
92	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Lettuce]]
92	1	Steak Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]
92	1	Chips	
93	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
93	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
93	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
93	1	Chips and Guacamole	
94	2	Chicken Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Guacamole]]
95	1	Chips and Guacamole	
95	1	Steak Bowl	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]
96	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]
96	2	Chicken Crispy Tacos	[Tomatillo Red Chili Salsa, [Cheese, Sour Cream, Lettuce]]
96	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]
97	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]
97	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]
97	1	Chips	
98	1	Barbacoa Burrito	[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]
98	2	Chips	
98	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Sour Cream, Lettuce]]
99	1	Veggie Burrito	[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Guacamole]]
99	1	Chips	
100	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]
100	1	Canned Soda	[Mountain Dew]
101	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]
101	1	Chips and Guacamole	
102	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce]]
102	1	Chips and Tomatillo Green Chili Salsa	
102	1	Chips and Roasted Chili Corn Salsa	
103	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
103	2	Chips and Tomatillo Green Chili Salsa	
103	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]
103	1	Carnitas Soft Tacos	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Pinto Beans, Cheese]]
103	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
104	1	Carnitas Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]
104	1	Chips and Fresh Tomato Salsa	
105	2	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]
106	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]
106	1	Steak Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream]]
107	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]
108	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Lettuce]]
108	1	Canned Soda	[Mountain Dew]
108	1	Canned Soda	[Dr. Pepper]
108	1	Canned Soda	[Mountain Dew]
108	1	Barbacoa Burrito	[[Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Cheese]]
109	1	Chicken Salad	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]
109	1	Canned Soda	[Diet Dr. Pepper]
110	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]
110	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]
110	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]
110	1	Barbacoa Crispy Tacos	[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce]]
111	1	Chicken Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]
111	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]
112	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]
112	1	Steak Bowl	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]
113	1	Steak Bowl	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]
113	1	Canned Soda	[Mountain Dew]
114	1	Steak Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole, Lettuce]]
114	1	Canned Soft Drink	[Coke]
115	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice]]
115	1	Chips and Fresh Tomato Salsa	
116	1	Steak Soft Tacos	[Fresh Tomato Salsa, [Rice, Cheese, Lettuce]]
116	1	Chips and Fresh Tomato Salsa	
117	1	Barbacoa Soft Tacos	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Cheese, Sour Cream, Lettuce]]
117	1	Chips and Guacamole	
118	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]
118	1	Chips and Tomatillo-Green Chili Salsa	
119	1	Chicken Burrito	[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]
119	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]
120	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese]]
120	1	Side of Chips	
121	1	Chicken Burrito	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream]]
121	1	Chips and Guacamole	
122	1	Steak Soft Tacos	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Lettuce]]
122	1	Side of Chips	
122	1	Canned Soda	[Coca Cola]
123	2	Steak Salad Bowl	[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Guacamole]]
124	2	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]
124	1	Chips	
124	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]
125	1	Steak Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Lettuce]]
125	1	Steak Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]
125	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce]]
125	1	Chips and Guacamole	
126	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]
126	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Guacamole, Lettuce]]
127	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Sour Cream, Guacamole, Lettuce]]
127	1	Canned Soft Drink	[Sprite]
128	1	Steak Soft Tacos	[Fresh Tomato Salsa, [Cheese, Sour Cream]]
128	1	Chips and Guacamole	
128	1	Veggie Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Lettuce, Guacamole, Sour Cream, Cheese, Black Beans, Rice]]
129	1	Steak Burrito	[Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole]]
129	1	Steak Burrito	[Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole]]
129	1	6 Pack Soft Drink	[Sprite]
130	1	Steak Soft Tacos	[Tomatillo-Red Chili Salsa (Hot), Lettuce]
130	1	Chips and Tomatillo-Red Chili Salsa	
131	1	Chicken Bowl	[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]
131	1	Chips and Fresh Tomato Salsa	
132	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]
